Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2007-11-09T15:00:00Z,EFA,58.4019168,84,4,Filled,4905.7610112, 
2007-11-12T15:00:00Z,GLD,79.66,62,4,Filled,4938.92, 
2008-01-11T15:05:00Z,EFA,56.099131968,-84,0,Filled,-4712.327085312,Liquidated 
2008-01-14T15:05:00Z,GLD,89.23,-62,0,Filled,-5532.26,Liquidated 
2008-09-26T14:00:00Z,LQD,60.529660776,80,4,Filled,4842.37286208, 
2008-09-29T14:00:00Z,EFA,41.715025695,118,4,Filled,4922.37303201, 
2008-10-24T14:00:00Z,DIA,65.440834804,74,4,Filled,4842.621775496, 
2008-10-24T14:00:00Z,EEM,15.961371798,294,4,Filled,4692.643308612, 
2008-10-24T14:00:00Z,QQQ,26.561826375,184,4,Filled,4887.376053, 
2008-10-24T14:00:00Z,SPY,70.815283532,68,4,Filled,4815.439280176, 
2008-11-28T15:05:00Z,LQD,62.777609945,-80,0,Filled,-5022.2087956,Liquidated 
2008-12-01T15:05:00Z,EFA,30.12122442,-118,0,Filled,-3554.30448156,Liquidated 
2008-12-26T15:05:00Z,DIA,67.976185818,-74,0,Filled,-5030.237750532,Liquidated 
2008-12-26T15:05:00Z,EEM,20.167640568,-294,0,Filled,-5929.286326992,Liquidated 
2008-12-26T15:05:00Z,QQQ,26.57299965,-184,0,Filled,-4889.4319356,Liquidated 
2008-12-26T15:05:00Z,SPY,72.287059456,-68,0,Filled,-4915.520043008,Liquidated 
2009-11-27T15:00:00Z,QQQ,39.793191666,126,4,Filled,5013.942149916, 
2010-01-29T15:05:00Z,QQQ,40.240659704,-126,0,Filled,-5070.323122704,Liquidated 
2011-04-18T14:00:00Z,DIA,103.822864952,48,4,Filled,4983.497517696, 
2011-06-20T14:05:00Z,DIA,102.592262052,-48,0,Filled,-4924.428578496,Liquidated 
2011-09-19T14:00:00Z,DIA,98.401294726,51,4,Filled,5018.466031026, 
2011-09-19T14:00:00Z,EFA,41.01903519,124,4,Filled,5086.36036356, 
2011-09-19T14:00:00Z,SPY,106.202821858,48,4,Filled,5097.735449184, 
2011-11-21T15:05:00Z,DIA,99.948395877,-51,0,Filled,-5097.368189727,Liquidated 
2011-11-21T15:05:00Z,EFA,39.805796121,-124,0,Filled,-4935.918719004,Liquidated 
2011-11-21T15:05:00Z,SPY,105.148001578,-48,0,Filled,-5047.104075744,Liquidated 
2011-12-12T15:00:00Z,GLD,161.87,31,4,Filled,5017.97, 
2012-02-13T15:05:00Z,GLD,167.09,-31,0,Filled,-5179.79,Liquidated 
2013-06-24T14:00:00Z,EFA,49.710205985,102,4,Filled,5070.44101047, 
2013-07-05T14:00:00Z,LQD,96.569741204,52,4,Filled,5021.626542608, 
2013-08-26T14:05:00Z,EFA,54.10200172,-102,0,Filled,-5518.40417544,Liquidated 
2013-09-06T14:05:00Z,LQD,96.268453668,-52,0,Filled,-5005.959590736,Liquidated 
2014-01-31T15:00:00Z,EFA,56.498950192,89,4,Filled,5028.406567088, 
2014-04-07T14:05:00Z,EFA,59.852241159,-89,0,Filled,-5326.849463151,Liquidated 
2014-07-14T14:00:00Z,GLD,125.89,40,4,Filled,5035.6, 
2014-09-15T14:05:00Z,GLD,118.66,-40,0,Filled,-4746.4,Liquidated 
2015-02-06T15:00:00Z,GLD,118.83,42,4,Filled,4990.86, 
2015-04-13T14:05:00Z,GLD,115.09,-42,0,Filled,-4833.78,Liquidated 
2015-08-24T14:00:00Z,DIA,154.36969388,33,4,Filled,5094.19989804, 
2015-08-24T14:00:00Z,EEM,31.484325098,172,4,Filled,5415.303916856, 
2015-08-24T14:00:00Z,EFA,56.51728007,93,4,Filled,5256.10704651, 
2015-08-24T14:00:00Z,SPY,185.569423006,28,4,Filled,5195.943844168, 
2015-10-26T14:05:00Z,DIA,166.779908712,-33,0,Filled,-5503.736987496,Liquidated 
2015-10-26T14:05:00Z,EEM,34.0780428,-172,0,Filled,-5861.4233616,Liquidated 
2015-10-26T14:05:00Z,EFA,57.95876088,-93,0,Filled,-5390.16476184,Liquidated 
2015-10-26T14:05:00Z,SPY,197.326596528,-28,0,Filled,-5525.144702784,Liquidated 
2016-06-24T14:00:00Z,EFA,50.993430488,96,4,Filled,4895.369326848, 
2016-08-26T14:05:00Z,EFA,56.8628312,-96,0,Filled,-5458.8317952,Liquidated 
